"group"	"gene"
"MAPK signaling pathway"	"63928"
"MAPK signaling pathway"	"6416"
"MAPK signaling pathway"	"64600"
"MAPK signaling pathway"	"6654"
"MAPK signaling pathway"	"6655"
"MAPK signaling pathway"	"6722"
"MAPK signaling pathway"	"673"
"MAPK signaling pathway"	"6788"
"MAPK signaling pathway"	"6789"
"MAPK signaling pathway"	"6885"
"MAPK signaling pathway"	"7040"
"MAPK signaling pathway"	"7042"
"MAPK signaling pathway"	"7043"
"MAPK signaling pathway"	"7046"
"MAPK signaling pathway"	"7048"
"MAPK signaling pathway"	"7124"
"MAPK signaling pathway"	"7132"
"MAPK signaling pathway"	"7157"
"MAPK signaling pathway"	"7186"
"MAPK signaling pathway"	"7189"
"MAPK signaling pathway"	"773"
"MAPK signaling pathway"	"774"
"MAPK signaling pathway"	"775"
"MAPK signaling pathway"	"776"
"MAPK signaling pathway"	"777"
"MAPK signaling pathway"	"778"
"MAPK signaling pathway"	"7786"
"MAPK signaling pathway"	"779"
"MAPK signaling pathway"	"781"
"MAPK signaling pathway"	"782"
"MAPK signaling pathway"	"783"
"MAPK signaling pathway"	"784"
"MAPK signaling pathway"	"785"
"MAPK signaling pathway"	"7850"
"MAPK signaling pathway"	"786"
"MAPK signaling pathway"	"7867"
"MAPK signaling pathway"	"8074"
"MAPK signaling pathway"	"80824"
"MAPK signaling pathway"	"81579"
"MAPK signaling pathway"	"836"
"MAPK signaling pathway"	"8398"
"MAPK signaling pathway"	"8399"
"MAPK signaling pathway"	"84647"
"MAPK signaling pathway"	"84867"
"MAPK signaling pathway"	"8491"
"MAPK signaling pathway"	"8517"
"MAPK signaling pathway"	"8550"
"MAPK signaling pathway"	"8569"
"MAPK signaling pathway"	"8649"
"MAPK signaling pathway"	"8681"
"MAPK signaling pathway"	"8817"
"MAPK signaling pathway"	"8822"
"MAPK signaling pathway"	"8823"
"MAPK signaling pathway"	"8911"
"MAPK signaling pathway"	"8912"
"MAPK signaling pathway"	"8913"
"MAPK signaling pathway"	"8986"
"MAPK signaling pathway"	"9020"
"MAPK signaling pathway"	"9064"
"MAPK signaling pathway"	"9175"
"MAPK signaling pathway"	"9252"
"MAPK signaling pathway"	"9254"
"MAPK signaling pathway"	"9261"
"MAPK signaling pathway"	"929"
"MAPK signaling pathway"	"9344"
"MAPK signaling pathway"	"93589"
"MAPK signaling pathway"	"9448"
"MAPK signaling pathway"	"9479"
"MAPK signaling pathway"	"9693"
"MAPK signaling pathway"	"994"
"MAPK signaling pathway"	"9965"
"MAPK signaling pathway"	"998"
"p53 signaling pathway"	"1021"
"p53 signaling pathway"	"1026"
"p53 signaling pathway"	"1029"
"p53 signaling pathway"	"10912"
"p53 signaling pathway"	"1111"
"p53 signaling pathway"	"11200"
"p53 signaling pathway"	"143686"
"p53 signaling pathway"	"1643"
"p53 signaling pathway"	"1647"
"p53 signaling pathway"	"25898"
"p53 signaling pathway"	"27113"
"p53 signaling pathway"	"27244"
"p53 signaling pathway"	"2810"
"p53 signaling pathway"	"3479"
"p53 signaling pathway"	"3486"
"p53 signaling pathway"	"355"
"p53 signaling pathway"	"3732"
"p53 signaling pathway"	"4193"
"p53 signaling pathway"	"4194"
"p53 signaling pathway"	"4616"
"p53 signaling pathway"	"472"
"p53 signaling pathway"	"50484"
"p53 signaling pathway"	"5054"
"p53 signaling pathway"	"51246"
"p53 signaling pathway"	"51512"
"p53 signaling pathway"	"5268"
"p53 signaling pathway"	"5366"
"p53 signaling pathway"	"545"
"p53 signaling pathway"	"55240"
"p53 signaling pathway"	"55367"
"p53 signaling pathway"	"56475"
"p53 signaling pathway"	"5728"
"p53 signaling pathway"	"575"
"p53 signaling pathway"	"581"
"p53 signaling pathway"	"6241"
"p53 signaling pathway"	"637"
"p53 signaling pathway"	"63970"
"p53 signaling pathway"	"64065"
"p53 signaling pathway"	"64326"
"p53 signaling pathway"	"64393"
"p53 signaling pathway"	"6477"
"p53 signaling pathway"	"651610"
"p53 signaling pathway"	"7057"
"p53 signaling pathway"	"7157"
"p53 signaling pathway"	"7161"
"p53 signaling pathway"	"7249"
"p53 signaling pathway"	"83667"
"p53 signaling pathway"	"841"
"p53 signaling pathway"	"8493"
"p53 signaling pathway"	"85417"
"p53 signaling pathway"	"8795"
"p53 signaling pathway"	"894"
"p53 signaling pathway"	"896"
"p53 signaling pathway"	"900"
"p53 signaling pathway"	"901"
"p53 signaling pathway"	"9133"
"p53 signaling pathway"	"9134"
"p53 signaling pathway"	"9538"
"p53 signaling pathway"	"9540"
"Wnt signaling pathway"	"10023"
